date,source,windDirec,windLevel
2015-03-01,https://lishi.tianqi.com/beijing/201503.html,北风~南风,3-4级
2015-03-02,https://lishi.tianqi.com/beijing/201503.html,南风~北风,3-4级~5-6级
2015-03-03,https://lishi.tianqi.com/beijing/201503.html,北风,5-6级
2015-03-04,https://lishi.tianqi.com/beijing/201503.html,北风~微风,3-4级~小于3级
2015-03-05,https://lishi.tianqi.com/beijing/201503.html,微风,小于3级
2015-03-06,https://lishi.tianqi.com/beijing/201503.html,微风~南风,小于3级~3-4级
2015-03-07,https://lishi.tianqi.com/beijing/201503.html,微风,小于3级
2015-03-08,https://lishi.tianqi.com/beijing/201503.html,微风~北风,小于3级~4-5级
2015-03-09,https://lishi.tianqi.com/beijing/201503.html,北风,4-5级
2015-03-10,https://lishi.tianqi.com/beijing/201503.html,北风~微风,3-4级~小于3级
2015-03-11,https://lishi.tianqi.com/beijing/201503.html,微风,小于3级
2015-03-12,https://lishi.tianqi.com/beijing/201503.html,微风,小于3级
2015-03-13,https://lishi.tianqi.com/beijing/201503.html,微风,小于3级
2015-03-14,https://lishi.tianqi.com/beijing/201503.html,微风,小于3级
2015-03-15,https://lishi.tianqi.com/beijing/201503.html,微风~北风,小于3级~3-4级
2015-03-16,https://lishi.tianqi.com/beijing/201503.html,微风,小于3级
2015-03-17,https://lishi.tianqi.com/beijing/201503.html,微风,小于3级
2015-03-18,https://lishi.tianqi.com/beijing/201503.html,微风,小于3级
2015-03-19,https://lishi.tianqi.com/beijing/201503.html,微风,小于3级
2015-03-20,https://lishi.tianqi.com/beijing/201503.html,微风,小于3级
2015-03-21,https://lishi.tianqi.com/beijing/201503.html,北风,3-4级~4-5级
2015-03-22,https://lishi.tianqi.com/beijing/201503.html,北风,3-4级
2015-03-23,https://lishi.tianqi.com/beijing/201503.html,微风,小于3级
2015-03-24,https://lishi.tianqi.com/beijing/201503.html,微风,小于3级
2015-03-25,https://lishi.tianqi.com/beijing/201503.html,微风~南风,小于3级~3-4级
2015-03-26,https://lishi.tianqi.com/beijing/201503.html,微风~南风,小于3级~3-4级
2015-03-27,https://lishi.tianqi.com/beijing/201503.html,微风~南风,小于3级~3-4级
2015-03-28,https://lishi.tianqi.com/beijing/201503.html,南风~北风,3-4级~4-5级
2015-03-29,https://lishi.tianqi.com/beijing/201503.html,北风~南风,3-4级
2015-03-30,https://lishi.tianqi.com/beijing/201503.html,微风,小于3级
2015-03-31,https://lishi.tianqi.com/beijing/201503.html,微风~东北风,小于3级~3-4级
2014-10-01,https://lishi.tianqi.com/beijing/201410.html,微风,小于3级
2014-10-02,https://lishi.tianqi.com/beijing/201410.html,微风,小于3级
2014-10-03,https://lishi.tianqi.com/beijing/201410.html,微风,小于3级
2014-10-04,https://lishi.tianqi.com/beijing/201410.html,微风,小于3级
2014-10-05,https://lishi.tianqi.com/beijing/201410.html,微风~北风,小于3级~3-4级
2014-10-06,https://lishi.tianqi.com/beijing/201410.html,微风,小于3级
2014-10-07,https://lishi.tianqi.com/beijing/201410.html,微风,小于3级
2014-10-08,https://lishi.tianqi.com/beijing/201410.html,微风,小于3级
2014-10-09,https://lishi.tianqi.com/beijing/201410.html,微风,小于3级
2014-10-10,https://lishi.tianqi.com/beijing/201410.html,微风,小于3级
2014-10-11,https://lishi.tianqi.com/beijing/201410.html,微风~北风,小于3级~3-4级
2014-10-12,https://lishi.tianqi.com/beijing/201410.html,北风,4-5级
2014-10-13,https://lishi.tianqi.com/beijing/201410.html,微风,小于3级
